="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="main",="",="",="",="",="",=""
="share_treesonfarm",="-0.093",="",="0.017",="",="-0.509***",=""
="",="[0.182]",="",="[0.185]",="",="[0.195]",=""
="share_fruit",="",="-0.052",="",="-0.479**",="",="-1.311***"
="",="",="[0.183]",="",="[0.241]",="",="[0.379]"
="ch_sex",="-0.094",="-0.095",="-0.149**",="-0.137*",="-0.021",="-0.005"
="",="[0.058]",="[0.059]",="[0.074]",="[0.074]",="[0.124]",="[0.124]"
="ch_age_m",="0.058***",="0.058***",="-0.005",="-0.005",="-0.069***",="-0.070***"
="",="[0.009]",="[0.009]",="[0.011]",="[0.011]",="[0.014]",="[0.014]"
="ch_age_m",="",="",="",="0.000",="",=""
="",="",="",="",="[.]",="",=""
="ch_age_m_sq",="-0.001***",="-0.001***",="0.000",="0.000",="0.001***",="0.001***"
="",="[0.000]",="[0.000]",="[0.000]",="[0.000]",="[0.000]",="[0.000]"
="mcg_age",="0.002",="0.002",="-0.018",="-0.017",="0.053",="0.052"
="",="[0.016]",="[0.016]",="[0.021]",="[0.020]",="[0.034]",="[0.033]"
="mcg_age_sq",="-0.000",="-0.000",="0.000",="0.000",="-0.001",="-0.001"
="",="[0.000]",="[0.000]",="[0.000]",="[0.000]",="[0.000]",="[0.000]"
="mcg_sex",="-0.180**",="-0.179**",="0.087",="0.088",="0.203",="0.213"
="",="[0.080]",="[0.080]",="[0.105]",="[0.107]",="[0.159]",="[0.163]"
="mcg_sch",="-0.024**",="-0.024**",="-0.033***",="-0.034***",="-0.018",="-0.020"
="",="[0.011]",="[0.010]",="[0.010]",="[0.011]",="[0.019]",="[0.020]"
="lvst_large",="-0.009",="-0.009",="-0.024*",="-0.026**",="-0.027",="-0.029"
="",="[0.010]",="[0.009]",="[0.013]",="[0.013]",="[0.019]",="[0.020]"
="lvst_small",="0.004",="0.004",="0.001",="0.005",="0.003",="0.007"
="",="[0.007]",="[0.007]",="[0.014]",="[0.014]",="[0.022]",="[0.023]"
="hhsize_ae",="0.008",="0.007",="0.008",="0.010",="0.004",="0.005"
="",="[0.015]",="[0.015]",="[0.020]",="[0.020]",="[0.026]",="[0.026]"
="dep_ratio",="0.067",="0.066",="-0.048",="-0.048",="0.014",="0.007"
="",="[0.044]",="[0.043]",="[0.045]",="[0.045]",="[0.041]",="[0.038]"
="poor_13",="0.039",="0.044",="0.121",="0.120",="-0.311",="-0.285"
="",="[0.096]",="[0.097]",="[0.133]",="[0.136]",="[0.209]",="[0.210]"
="cpexp30",="-0.199**",="-0.194*",="-0.100",="-0.098",="-0.383**",="-0.347*"
="",="[0.101]",="[0.100]",="[0.151]",="[0.151]",="[0.186]",="[0.187]"
="cpexp30",="0.000",="",="",="",="",=""
="",="[.]",="",="",="",="",=""
="cpexp30",="",="0.000",="",="",="",=""
="",="",="[.]",="",="",="",=""
="cpexp30",="",="",="0.000",="",="",=""
="",="",="",="[.]",="",="",=""
="cpexp30",="",="",="",="0.000",="",=""
="",="",="",="",="[.]",="",=""
="cpexp30",="",="",="",="",="0.000",=""
="",="",="",="",="",="[.]",=""
="cpexp30",="",="",="",="",="",="0.000"
="",="",="",="",="",="",="[.]"
="Strata FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Agroecological FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Moth Interview FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="1390",="1390",="1391",="1391",="1340",="1340"
="R-squared",="",="",="",="",="",=""
